User_name,Category,Comments,Comments_extra,Comments_merge,Comments_Cleaned,predicted_sentiment
Ngọc Nguyễn,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
HẢI ĐĂNG,Màu : A15 - nâu ánh đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Minh Nhật,Màu : A19 - đỏ hồng tomato,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Võ Dương Thanh Thuỳ,Màu : A07 - cam hồng,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Võ Dương Thanh Thuỳ,Màu : A07 - cam hồng,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Giá Băng,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Truong Van Nguyen Thi,Màu : A06 - đỏ nâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Phạm Thị Hương Giang,Màu : A11 - hồng cháy,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Phạm Phúc,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thị Hương Lan,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Đặng Hương Giang,Màu : A01- đỏ dâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Hữu Minh,Màu : A03 - đỏ tươi,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trúc Hí,Màu : A15 - nâu ánh đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trần Hoàng Khải,Màu : A19 - đỏ hồng tomato,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Kiều Anh Hà Lê,Màu : A13 - nâu đỏ tươi,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Tâm Giao,Màu : A06 - đỏ nâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trương Ngọc Trâm,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Đinh Thị Quỳnh Châu,Màu : A11 - hồng cháy,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Công,Màu : A01- đỏ dâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Vợ Của Oh Sehun,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Pham Van Thai,Màu : A01- đỏ dâu,minh mua cho vk noi chung thấy ok. cho shop 5*,Cực kì hài lòng,minh mua cho vk noi chung thấy ok. cho shop 5*,minh mua cho vợ noi chung thấy ok cho shop 5,Positive
Thái Cẩm Ly,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Sure Pear,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Sure Pear,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Ngọc Hạnh,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Thao Vy,Màu : A01- đỏ dâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
